giornata,nome,squadra,ruolo,voto,fantavoto,gol,assist,rigori_segnati,rigori_sbagliati,rigori_parati,gol_subiti,autoreti,motm,bonus_totali
19,Stulic,Home,A,5.5,5.5,0,0,0,0,0,0,0,0,0
19,N'Dri,Home,A,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Helgason,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Gorter,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Pierotti,Home,C,5.0,5.0,0,0,0,0,0,0,0,0,0
19,Banda,Home,A,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Camarda,Home,A,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Di Francesco,Home,ALL,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Falcone,Home,P,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Veiga D.,Home,D,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Gaspar K.,Home,D,5.0,5.0,0,0,0,0,0,0,0,0,0
19,Tiago Gabriel,Home,D,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Gallo,Home,D,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Kaba,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Ramadani,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Maleh,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Sottil,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Gasperini,Away,ALL,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Svilar,Away,P,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Celik,Away,D,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Ziolkowski,Away,D,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Ghilardi,Away,D,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Wesley,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Konè M.,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Pisilli,Away,C,6.5,6.5,0,0,0,0,0,0,0,0,0
19,El Shaarawy,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Dybala,Away,A,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Cristante,Away,C,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Ferguson E.,Away,A,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Dovbyk,Away,A,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Tsimikas,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Soulè,Away,A,0,0,0,0,0,0,0,0,0,0,0
19,Coppola F.,Home,D,4.5,4.5,0,0,0,0,0,0,0,0,0
19,Gilardino,Home,ALL,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Nzola,Home,A,4.5,4.5,0,0,0,0,0,0,0,0,0
19,Tramoni M.,Home,C,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Angori,Home,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Piccinini G.,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Aebischer,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Marin M.,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Tourè I.,Home,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Caracciolo A.,Home,D,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Canestrelli,Home,D,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Semper,Home,P,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Hojholt,Home,C,0,0,0,0,0,0,0,0,0,0,0
19,Lorran,Home,C,0,0,0,0,0,0,0,0,0,0,0
19,Moreo,Home,A,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Esteves T.,Home,D,0,0,0,0,0,0,0,0,0,0,0
19,Leris,Home,C,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Valle,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Smolcic I.,Away,D,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Ramon,Away,D,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Kempf,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Butez,Away,P,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Vojvoda,Away,D,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Posch,Away,D,0,0,0,0,0,0,0,0,0,0,0
19,Baturina,Away,C,0,0,0,0,0,0,0,0,0,0,0
19,Sergi Roberto,Away,C,0,0,0,0,0,0,0,0,0,0,0
19,Caqueret,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Perrone,Away,C,7.0,7.0,0,0,0,0,0,0,0,0,0
19,Fabregas,Away,ALL,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Douvikas,Away,A,7.5,7.5,0,0,0,0,0,0,0,0,0
19,Rodriguez Je.,Away,A,6.5,6.5,0,0,0,0,0,0,0,0,0
19,Paz N.,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Kuhn,Away,A,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Da Cunha,Away,C,5.5,5.5,0,0,0,0,0,0,0,0,0
19,Laurientè,Home,A,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Muric,Home,P,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Grosso,Home,ALL,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Pinamonti,Home,A,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Iannoni,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Konè I.,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Matic,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Thorstvedt,Home,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Doig,Home,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Muharemovic,Home,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Idzes,Home,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Walukiewicz,Home,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Spalletti,Away,ALL,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Di Gregorio,Away,P,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Kalulu,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Bremer,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Koopmeiners,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,McKennie,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Locatelli,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Thuram K.,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Cambiaso,Away,D,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Miretti,Away,C,6.0,6.0,0,0,0,0,0,0,0,0,0
19,Yildiz,Away,A,6.0,6.0,0,0,0,0,0,0,0,0,0
19,David,Away,A,6.0,6.0,0,0,0,0,0,0,0,0,0
